序號	客家語言	等級	腔調	類別	客語音標	華語辭義	英語詞義	客語例句	華語翻譯
001	頭那	初級	四縣	人體	teuˇ naˇ	頭	head	頭那大愛戴較(過)大頂个帽仔。	頭大要戴比較大的帽子。
002	頭腦	初級	四縣	人體	teuˇ noˋ	頭腦	brain	佢頭腦好，當（蓋）會讀書。	他頭腦好，很會讀書。
003	頭那毛	初級	四縣	人體	teuˇ naˇ moˊ	頭髮	hair	頭那毛忒長，好剪哩喲！	頭髮太長，該剪了喔！
004	目珠	初級	四縣	人體	mugˋ zuˊ	眼睛	eye	緊看電視，目珠會看壞忒。	一直看電視，眼睛會看壞。
005	目眉毛	初級	四縣	人體	mugˋ miˇ moˊ	眉毛	eyebrow	佢个目眉毛彎彎，當（蓋）靚。	他的眉毛彎彎的，很漂亮。
006	目汁	初級	四縣	人體	mugˋ ziibˋ	淚水	tear	老弟緊噭緊流目汁。	弟弟邊哭邊流眼淚。
007	目屎	初級	四縣	人體	mugˋ siiˋ	眼屎	secretions of the eyes	若目珠脣有目屎。	你眼睛旁邊有眼屎。
008	耳公	初級	四縣	人體	ngiˋ gungˊ	耳朵	ear	阿公八十零歲吔，耳公還當（蓋）靈。	爺爺八十幾歲了，耳朵還很靈。
009	鼻公	初級	四縣	人體	pi  gungˊ	鼻子	nose	鼻公毋鬆爽。	我鼻子不舒服。
010	濞	初級	四縣	人體	pi	鼻涕	nasal mucus	寒着吔，緊流濞。	我感冒了，一直流鼻涕。
011	鼻屎	初級	四縣	人體	pi  siiˋ	鼻屎	snot	在人面前挖鼻屎，當（蓋）無禮貌。	在別人面前挖鼻屎，很沒禮貌。
012	嘴	初級	四縣	人體	zoi	嘴	mouth	食東西以後，嘴愛捽淨來。	吃完東西後，嘴巴要擦乾淨。
013	嘴脣	初級	四縣	人體	zoi  sunˇ【zoi  siinˇ】	嘴脣	lip	阿姊个嘴脣紅紅，當（蓋）靚。	姊姊嘴脣紅紅的，很漂亮。
014	口涎	初級	四縣	人體	heuˋ lanˊ【heuˋnanˊ】	口水	saliva	看着酸梅就會流口涎。	我看到酸梅就會流口水。
015	面	初級	四縣	人體	mien	臉	face	朝晨頭起來，愛洗面。	早上起床，要洗臉。
016	面頰卵	初級	四縣	人體	mien  gabˋ lonˋ【mien  gabˋnonˋ】	顴骨周邊	cheek	老妹面頰卵紅紅，當（蓋）得人惜。	妹妹臉頰紅紅的，很可愛。
017	額頭	初級	四縣	人體	ngiagˋ teuˇ	額頭	forehead	阿姆摸吾額頭，講發燒吔。	媽媽摸我額頭，說我發燒了。
018	牙齒	初級	四縣	人體	ngaˇ ciiˋ	牙齒	tooth	牙齒痛，就愛去分先生看。	牙齒痛，就要去看醫生。
019	舌	初級	四縣	人體	sad  maˇ	舌頭	tongue	毋堵好咬着舌，當（蓋）痛。	我不小心咬到舌頭，很痛。
020	下【下嘴】	初級	四縣	人體	haˊ ngamˊ【haˊzoi  ngamˊ】	下巴	chin	佢牙齒痛到下𪘒(下嘴)打毋開。	他牙齒疼得下巴張不開。
021	圓身	初級	四縣	人體	ienˇsiinˊ【ianˇsiinˊ】	身體	body	圓身分蚊仔叼（咬）着，當（蓋）癢	我身體被蚊子叮到，很癢。
022	皮膚	初級	四縣	人體	piˇ fuˊ	皮膚	skin	老妹皮膚白淨白淨。	妹妹的皮膚白白淨淨。
023	頸根	初級	四縣	人體	giangˋ ginˊ	脖子	neck	頸根圍條圍巾當燒暖。	脖子圍條圍巾很暖和。
024	肩頭	初級	四縣	人體	gienˊ teuˇ【gianˊ teuˇ】	肩膀	shoulder	揹恁重个書包仔，肩頭會痛無？	背這麼重的書包，肩膀會痛嗎？
025	龍骨(背囊骨)	初級	四縣	人體	liungˇ gudˋ(boi nongˇ gudˋ)	脊椎	spine	當（蓋）多老人家龍骨(背囊骨)生骨刺。	很多老人家脊椎長骨刺。
026	背囊	初級	四縣	人體	boi  nongˇ	背部	back	背囊當（蓋）癢，爪毋着。	我背很癢，抓不到。
027	手巴掌	初級	四縣	人體	suˋ baˊ zongˋ	手掌	palm	手巴掌大，做得扡較（過）多東西。	手掌大，可以抓比較多東西。
028	手指	初級	四縣	人體	suˋ ziiˋ	手指	finger	厥手指打球仔著傷吔。	他的手指打球受傷了。
029	腳	初級	四縣	人體	giogˋ	腳	foot, leg	佢騎自行車，腳撞斷忒。	他騎自行車，撞斷腳。
030	腳髀【大羅髀】	初級	四縣	人體	giogˋ biˋ【tai loˇ biˋ】	大腿	thigh	厥倈仔个腳髀（大羅髀）當（蓋）大支。	他兒子的大腿很粗。
031	膝頭	初級	四縣	人體	qidˋ teuˇ	膝蓋	knee	阿姆膝頭痛，行路毋得。	媽媽膝蓋痛，無法走路。
032	腳盤	初級	四縣	人體	giogˋ panˇ	腳面	instep	聽講腳盤大，行路較(過)穩。	聽說腳盤大，走路比較穩。
033	腳目珠【腳目珠仁】	初級	四縣	人體	giogˋ mugˋ zuˊ【giogˋ mugˋ zuˊinˇ】	腳踝	ankle	吾腳目珠(仁)踣着，腫起來。	我腳踝扭傷，腫起來了。
034	腳趾	初級	四縣	人體	giogˋ ziiˋ	腳趾	toe	佢腳趾踢着，出血咧。	他腳趾踢傷，出血了。
035	肚臍	初級	四縣	人體	duˋ qiˇ	肚臍	belly button; navel	這領衫忒短，肚臍會走出來。	這件衣服太短，肚臍會露出來。
036	肚屎	初級	四縣	人體	duˋ siiˋ	肚子	belly; stomach; abdomen	肚屎痛，想愛去便所。	我肚子痛，想要上廁所。
037	心臟	初級	四縣	人體	ximˊ cong	心臟	heart	毋好走恁遽，心臟會佇毋著。	不要跑這麼快，心臟會受不了。
038	血管	初級	四縣	人體	hiedˋ gonˋ	血管	vein	毋好食忒肥，係無，血管較（過）會塞着。	不要吃太胖，不然血管較會阻塞。
039	肝	初級	四縣	人體	gonˊ	肝	liver	常常噩夜，對肝毋好。	經常熬夜，對肝不好。
040	腰仔	初級	四縣	人體	ieuˊeˋ	腎臟	kidney	食忒鹹，對腰仔毋好。	吃太鹹，對腎臟不好。
041	腸仔	初級	四縣	人體	congˇ eˋ	腸子	intestine	大家笑到腸仔都打結吔。	大家笑得腸子都打結了。
042	胃	初級	四縣	人體	vi	胃	stomach	胃痛，想愛請假。	我胃痛，想請假。
043	尸朏	初級	四縣	人體	sii  vudˋ【sii  fudˋ】	屁股	buttocks	屙屎，尸朏愛捽淨來。	大便後，屁股要擦乾淨。
001	阿爸	初級	四縣	稱謂	aˊ  baˊ	爸爸	father	阿爸逐日送去學校讀書。	爸爸每天送我去學校讀書。
002	阿姆【唔媽】	初級	四縣	稱謂	aˊmeˊ【m maˋ】	媽媽	mother	阿姆(唔媽)在學校教書。	媽媽在學校教書。
003	阿哥	初級	四縣	稱謂	aˊ  goˊ	哥哥	elder brother	放尞日，長透同阿哥去打球仔。	假日，我常和哥哥去打球。
004	阿嫂	初級	四縣	稱謂	aˊ soˋ	嫂嫂	sister-in-law （wife of elder brother）	阿嫂去銀行上班。	嫂嫂去銀行上班。
005	老弟	初級	四縣	稱謂	loˋ taiˊ	弟弟	younger brother	厥老弟還細，正讀幼稚園。	他弟弟還小，才讀幼兒園。
006	老弟心臼	初級	四縣	稱謂	loˋ taiˊ ximˊ kiuˊ	弟媳婦	sister-in-law （wife of younger brother）	厥老弟心臼盡會做生理。	他弟媳婦很會做生意。
007	阿姊	初級	四縣	稱謂	aˊ jiˋ【aˊ ze】	姊姊	elder sister	年初二，阿姊同姊丈共下轉外（妹）家。	年初二，姊姊和姊夫一起回娘家。
008	姊丈	初級	四縣	稱謂	jiˋ congˊ	姊夫	brother-in-law （husband of elder sister）	阿姊同姊丈，兩公婆當（蓋）相好。	姊姊和姊夫，夫妻倆很恩愛。
009	老妹	初級	四縣	稱謂	loˋ moi	妹妹	younger sister	老妹參加畫圖比賽，打頭名。	妹妹參加畫圖比賽，拿第一名。
010	老妹婿	初級	四縣	稱謂	loˋ moi  se	妹夫	brother-in-law （husband of younger sister）	吾老妹婿比大一歲。	我妹婿比我大一歲。
011	倈仔	初級	四縣	稱謂	lai  eˋ	兒子	son	阿明嫂有三個倈仔。	阿明嫂有三個兒子。
012	心臼	初級	四縣	稱謂	ximˊ kiuˊ	媳婦	daughter-in-law	阿清伯今晡日討心臼。	阿清伯今天娶媳婦。
013	妹仔	初級	四縣	稱謂	moi  eˋ	女兒	daughter	厥妹仔今年二十歲。	他女兒今年二十歲。
014	婿郎	初級	四縣	稱謂	se  longˇ【se  nongˇ】	女婿	son-in-law	佢同妹仔、婿郎歇共下。	他和女兒、女婿一起住。
015	阿公	初級	四縣	稱謂	aˊ gungˊ	祖父	grandfather （on father's side）	阿公八十零歲吔，身體還當（蓋）健。	爺爺八十幾歲了，身體還很健康。
016	阿婆【阿嬤】	初級	四縣	稱謂	aˊ poˇ【aˊ ma】	祖母	grandmother （on father's side）	阿婆(阿嬤)身體還異(蓋)健。	奶奶身體還挺硬朗。
017	孫仔	初級	四縣	稱謂	sunˊ eˋ	孫子	grandson	阿公這下在屋下渡孫仔。	爺爺現在在家帶孫子。
018	孫女	初級	四縣	稱謂	sunˊ ngˋ	孫女	granddaughter	阿公逐（每）日帶孫女去公園尞。	爺爺每天帶孫女去公園玩。
019	阿姑	初級	四縣	稱謂	aˊ guˊ	姑媽	aunt （on father's side）	阿姑昨晡日轉（ 歸）來尞。	姑媽昨天回來玩。
020	姑丈	初級	四縣	稱謂	guˊ congˊ	姑丈	uncle （husband of a paternal aunt）	阿姑同姑丈，兩公婆開一間點心店。	姑媽和姑丈，夫妻倆開一家小吃店。
021	阿舅	初級	四縣	稱謂	aˊ kiuˊ	舅舅	maternal uncle	阿舅在鄉下耕田。	舅舅在鄉下耕田。
022	舅姆	初級	四縣	稱謂	kiuˊ meˊ	舅媽	aunt （wife of maternal uncle）	舅姆在國民小學教書。	舅媽在國民小學教書。
023	阿姨	初級	四縣	稱謂	aˊ  iˇ	姨媽	aunt （on mother's side）	阿姨同阿姆，兩姊妹當（蓋）相像。	阿姨和媽媽，兩姊妹長得很像。
024	姨丈	初級	四縣	稱謂	iˇ congˊ	姨父	uncle （husband of paternal aunt）	吾姨丈歇在莊下。	我姨丈住在鄉下。
025	姐婆【外阿婆】【阿婆】	初級	四縣	稱謂	jiaˋ poˇ【ngoi aˊpoˇ】【aˊ poˇ】	外婆	grandmother （on mother's side）	阿秋嫂舊年正嫁妹仔，今年就做姐婆（外阿婆）吔。	阿秋嫂去年才嫁女兒，今年就當外婆。
026	姐公【外阿公】	初級	四縣	稱謂	jiaˋ gungˊ【ngoi aˊ gungˊ】	外公	grandfather （on mother's side）	禮拜日，吾姆帶去看姐公（外阿公）。	禮拜天，媽媽帶我去看外公。
027	外孫	初級	四縣	稱謂	ngoi  sunˊ	外孫	grandson（on daughter's side）	姐公（外阿公）有十過個外孫吔！	外公有十幾個外孫了！
028	外孫女	初級	四縣	稱謂	ngoi  sunˊ ngˋ	外孫女	granddaughter（on daughter's side）	厥外孫女在美國出世！	他外孫女在美國出生！
029	舅公	初級	四縣	稱謂	kiuˊ gungˊ	舅公	granduncle （maternal grandmother's brother）	舅公做生日，喊去分佢請。	舅公生日，要請我客。
030	舅婆	初級	四縣	稱謂	kiuˊ poˇ	舅婆	grandaunt （wife of maternal grandmother's brother）	舅婆在莊下畜當（蓋）多雞鴨。	舅婆在鄉下養很多雞鴨。
031	外甥仔	初級	四縣	稱謂	ngoi  senˊ eˋ	外甥	nephew （on sister's side）	厥外甥仔過忒年愛讀國中吔。	他外甥明年要讀國中了。
032	外甥女	初級	四縣	稱謂	ngoi  senˊ ngˋ	外甥女	niece （on sister's side）	佢無妹仔，故所當（蓋）惜外甥女。	他沒有女兒，所以很疼外甥女。
033	叔伯兄弟	初級	四縣	稱謂	sugˋ bagˋ hiungˊ ti	堂兄弟	cousin （on father's side）	阿明同，兩儕係叔伯兄弟。	阿明和我，兩人是堂兄弟。
034	表兄弟	初級	四縣	稱謂	beuˋ hiungˊ ti	表兄弟	cousin （on mother's side）	有異（盡）多表兄弟。	我有很多表兄弟。
035	阿伯	初級	四縣	稱謂	aˊ bagˋ	伯父	uncle （father's elder brother）	阿伯屋下畜兩條狼狗。	伯父家養兩條狼狗。
036	伯姆	初級	四縣	稱謂	bagˋ meˊ	伯母	aunt （wife of father's elder brother）	伯姆拿餅仔分食。	伯母拿餅乾給我吃。
037	阿叔	初級	四縣	稱謂	aˊ sugˋ	叔叔	uncle （father's younger brother）	阿叔拿錢分買糖仔。	叔叔拿錢給我買糖果。
038	叔姆【姆姆】【嬭若】	初級	四縣	稱謂	sugˋ meˊ 【meˊ meˊ】【miˊ   ngiaˊ】	嬸嬸	aunt （wife of father's younger brother）	叔姆（姆姆）有身項（有身）吔，阿叔當（蓋）歡喜。	嬸嬸懷孕了，叔叔很高興。
039	伯公	初級	四縣	稱謂	bagˋ gungˊ	伯公	granduncle （paternal grandfather's elder brother）	伯公做過二十零年个里長。	伯公當過二十幾年的里長。
040	伯婆	初級	四縣	稱謂	bagˋ poˇ	伯祖母	grandaunt （wife of paternal grandfather's elder brother）	伯婆七十歲吔，行路還當（蓋）遽。	伯祖母七十歲了，走路還很快。
041	叔公	初級	四縣	稱謂	sugˋ gungˊ	叔公	granduncle （paternal grandfather's younger brother）	當（蓋）愛去叔公屋下尞。	我很喜歡去叔公家玩。
042	叔婆	初級	四縣	稱謂	sugˋ poˇ	叔婆	grandaunt （wife of paternal grandfather's younger brother）	叔婆毋肯來臺北跈倈仔歇。	叔婆不肯來臺北跟兒子住。
043	公太（阿太）	初級	四縣	稱謂	gungˊ tai （aˊ tai ）	曾祖父	great grandfather	吾公太食到百零歲。	我曾祖父活到一百多歲。
044	婆太（阿太）	初級	四縣	稱謂	poˇ tai （aˊtai）	曾祖母	great grandmother	吾婆太(阿太)盡惜𠊎。	我曾祖母很疼我。
045	老公	初級	四縣	稱謂	loˋ gungˊ	丈夫	husband	厥老公當（蓋）好唱歌仔。	他丈夫很愛唱歌。
046	餔娘【姐仔】	初級	四縣	稱謂	buˊ ngiongˇ【jiaˋ eˋ】	妻子	wife	阿方哥當(蓋)會同厥餔娘（姐仔）𢯭手。	阿方哥很會幫他太太的忙。
047	姪仔	初級	四縣	稱謂	ciid  eˋ	姪子	nephew （on brother's side）	厥姪仔在新加坡讀小學。	他姪子在新加坡讀小學。
048	姪女	初級	四縣	稱謂	ciid  ngˋ	姪女	niece （on brother's side）	吾姪女係籃球選手。	我姪女是籃球選手。
049	妻舅仔	初級	四縣	稱謂	qiˊ kiuˊeˋ	小舅子	brother-in-law （wife's brother）	阿榮當（蓋）愛同厥妻舅仔打嘴鼓。	阿榮很喜歡和他小舅子聊天。
050	丈人老	初級	四縣	稱謂	congˊminˊloˋ【congˊminˇloˋ】	岳父	father-in-law(wife's father)	姐公(外阿公)係阿爸个丈人老。	外公是爸爸的岳父。
051	丈人哀	初級	四縣	稱謂	congˊ minˊ oiˊ	岳母	mother-in-law （wife's mother）	阿宏哥帶餔娘（姐仔）轉外（妹）家，丈人哀留佢食夜。	阿宏哥帶太太回娘家，岳母留他吃晚飯。
052	家官	初級	四縣	稱謂	gaˊ gonˊ	公公	father-in-law （husband's father）	厥家官當（蓋）好食番豆。	他公公很喜歡吃花生。
053	家娘	初級	四縣	稱謂	gaˊ ngiongˇ	婆婆	mother-in-law （husband's mother）	阿玉厥家娘當(蓋)惜佢。	阿玉她婆婆很疼她。
054	鱸鰻仔【鱸鰻頭】	初級	四縣	稱謂	luˇ manˇeˋ【luˇ manˇteuˇ】	流氓	villain	鱸鰻仔(鱸鰻頭)係知差肯改還毋會慢。	流氓如果知錯能改還不遲。
055	賊仔	初級	四縣	稱謂	ced  eˋ	小偷	thief	厥屋下分賊仔偷。	他家遭小偷。
056	落仔【(詫仔)】	初級	四縣	稱謂	lau  eˋ【（tad eˋ）】	騙子	swindler	這下當（蓋）多落仔(詫仔)，會落人个錢。	現在很多騙子，會騙人的錢。
057	強盜	初級	四縣	稱謂	kiongˇ to	強盜	robber	佢堵着強盜，錢歸下分人搶淨淨。	他遇到強盜，錢全部被搶光光。
001	自家	初級	四縣	人際	qi gaˊ	自己	self	老弟曉得自家繫鞋帶仔吔。	弟弟會自己綁鞋帶了。
002	爺哀	初級	四縣	人際	iaˇ oiˊ	父母	parents	阿義兩公婆都上班，細人仔請爺哀渡。	阿義夫妻倆都上班，小孩請父母幫忙帶。
003	子女	初級	四縣	人際	ziiˋ ngˋ	子女	children	做人子女儕（个人），愛有孝爺哀。	當子女的，要孝順父母。
004	嬰兒仔	初級	四縣	人際	oˇnga eˋ【oˊngaˇeˋ】	嬰兒	infant	揇嬰兒仔愛細義，毋好跌着。	抱嬰兒要小心，不要跌倒。
005	細孲仔	初級	四縣	人際	se  oˇeˋ	兒童	child	細孲仔好去睡目吔！	小孩子該去睡覺了！
006	細人仔	初級	四縣	人際	se  nginˇ eˋ	小孩子	child; kid	細人仔毋好搞剪刀。	小孩子不要玩剪刀。
007	細妹仔	初級	四縣	人際	se  moi  eˋ	女孩/女性	girl ; female	該個細妹仔當（蓋）會跳舞。	那個女孩很會跳舞。
008	細倈仔	初級	四縣	人際	se  lai  eˋ	男孩/男性	boy; male	該群細倈仔係來手个。	那群男孩是來幫忙的。
009	後生人【後生仔】	初級	四縣	人際	heu  sangˊnginˇ【heu  sangˊeˋ】	年輕人	youth	後生人（後生仔）愛較（過）打拚兜仔。	年輕人要努力一點。
010	兄弟	初級	四縣	人際	hiungˊ ti	兄弟	brothers	兄弟毋好相打，愛互相照顧。	兄弟不要打架，要互相照顧。
011	婦人家	初級	四縣	人際	fu  nginˇgaˊ	婦人	woman	該隻（該個）婦人家係厥餔娘（姐仔）。	那個婦人是他太太。
012	男仔人	初級	四縣	人際	namˇ eˋ nginˇ	男人	man	一群男仔人在大樹下打嘴鼓。	一群男人在大樹下聊天。
013	生份人【毋識个人】	初級	四縣	人際	sangˊ fun  nginˇ【mˇsiidˋge nginˇ】	陌生人	stranger	係有生份人（毋識个人）來，做毋得開門。	如果有陌生人來，不可以開門。
014	自家人	初級	四縣	人際	qiˋ gaˊnginˇ	自己人	kith and kin; one of us	自家人，毋使細義。	自己人，不必客氣。
015	冤仇人【仇人】	初級	四縣	人際	ienˊ suˇ nginˇ【 suˇ nginˇ】	仇人	enemy; foe	佢兩儕（個人）像冤仇人（仇人）樣仔，見堵着就冤家。	他們兩個像仇人一樣，一見面就吵架。
016	親戚	初級	四縣	人際	qinˊ qidˋ	親戚	relative	吾屋下係大家族，親戚當（蓋）多。	我家是大家族，親戚很多。
017	名仔(名)	初級	四縣	人際	miangˇeˋ(miangˇ)	名字	name	你安到麼个名仔？	你叫什麼名字？
018	外家（妹家）	初級	四縣	人際	ngoi  gaˊ（moi  gaˊ）	娘家	wife's maiden home	年初二，阿姆帶轉外（妹）家。	年初二，媽媽帶我回娘家。
019	老老嫩嫩(老嫩大細)	初級	四縣	人際	loˋloˋnun nun (loˋnun tai se)	老老少少	young and old	無論老老嫩嫩，大家共下來唱歌仔。	不論老少，大家一起來唱歌。
020	你	初級	四縣	人際	nˇ/ngˇ/ngiˇ	你	you	你幾多歲吔？	你幾歲了？
021		初級	四縣	人際	ngaiˇ	我	I, me	畜一條狗仔，當（盡）得人惜。	我養一條狗，很可愛。
022	佢	初級	四縣	人際	giˇ【iˇ】	他	he/she; him/her	同佢係好朋友。	我和他是好朋友。
023	若	初級	四縣	人際	ngiaˊ	你的	your; yours	若姆有在屋下無？	你媽媽在家嗎？
024	吾	初級	四縣	人際	ngaˊ	我的	my; mine	吾姆去街項，會轉（歸）來吔。	我媽上街，快回來了。
025	厥	初級	四縣	人際	giaˊ【iaˊ】	他的	his/her; his/hers	厥姆係幼兒園園長。	他媽媽是幼兒園的園長。
026	你兜【你等】	初級	四縣	人際	ngiˇ deuˊ（nˇ deuˊ /ngˇ deuˊ）【ngˇ　nenˊ】	你們	you（plural）	你兜（你等）个作業寫好吂（ 無 ）？	你們的作業寫好了沒？
027	兜 （這兜）【等】	初級	四縣	人際	ngaiˇ deuˊ（ngaiˇ　iaˋ deuˊ）【ngaiˇ　nenˊ】	我們	we; us（exclusive）	兜（等）愛去看電影，你愛跈無？	我們要去看電影，你要跟嗎？
028	這兜【等】	初級	四縣	人際	enˊiaˋ deuˊ【ngaiˇ nenˊ】	咱們	we; us（inclusive）	這兜（等這兜）來去逛（ 踔 ）街好無？	我們去逛街好嗎？
029	大家【大家】	初級	四縣	人際	enˊ tai  gaˊ【tai  gaˊ】	大家	we all	大家(大家)共下行，較（過）有伴（陣）。	大家一起走，比較有伴。
030	佢兜【佢等】	初級	四縣	人際	giˇ deuˊ【iˇ nenˊ】	他們	they; them	佢兜(佢等)湊(邀)去打球仔，毋想去。	他們找我去打球，我不想去。
031	別人	初級	四縣	人際	ped  nginˇ【pied  nginˇ】	別人	others ; person	別人个東西，做毋得儘採停動。	別人的東西，不可以隨便動。
032	隔壁鄰舍	初級	四縣	人際	gagˋ biagˋ linˇ sa	左鄰右舍	neighbors	隔壁鄰舍定著愛相照顧。	左鄰右舍一定要互相照顧。
033	上屋	初級	四縣	人際	song  vugˋ	上頭那一家	house up the slope	上屋个阿明仔係吾好朋友。	上家的阿明是我的好朋友。
034	下屋	初級	四縣	人際	haˊ vugˋ	下頭那一家	house down the slope	下屋个阿木叔最好同搞。	下家的阿木叔最喜歡和我玩。
035	阿琢仔	初級	四縣	人際	aˊ dog  eˋ	西洋人	westerners	對門个阿英姊愛同阿琢仔結婚。	對面的阿英姊要和西洋人結婚。
036	噯	初級	四縣	人際	oiˋ	喂	hey	噯！恁久無看着！	喂！好久不見！
037	嗨	初級	四縣	人際	haiˋ	嗨	hi	嗨！恁久好無？	嗨！最近好嗎？
038	正來尞	初級	四縣	人際	zang  loiˇ liau 【ngiang/nang   loiˇ liau 】	再見	goodbye	愛轉（歸）吔，正來尞。	我要回家了，再見。
039	食飽	初級	四縣	人際	siid  bauˋ mangˇ	吃過沒；見面招呼語	Have you eaten? （a commom greeting）	阿超叔！恁早！食飽吂？	阿超叔！早！吃飯了嗎？
040	恁早	初級	四縣	人際	anˋ zoˋ	早安	Good morning.	先生恁早。	老師早。
041	恁仔細(承蒙你)【多謝】	初級	四縣	人際	anˋziiˋ se (siinˇ mungˇ ngˇ)【doˊ qia】	謝謝	Thank you.	恁仔細（多謝），送恁多東西分。	謝謝你，送這麼多東西給我。
001	果子(水果)	初級	四縣	飲食	goˋ ziiˋ(suiˋgoˋ)	水果	fruit	食果子愛拜樹頭。	吃水果要拜樹根 (喻：飲水要思源)。
002	蘋果	初級	四縣	飲食	lin goˋ（lin ngoˇ）	蘋果	apple	進口个蘋果當（蓋）貴。	進口的蘋果很貴。
003	水梨(梨仔)	初級	四縣	飲食	suiˋ liˇ（ liˇ eˇ）	水梨	pear	橫山出个水梨（梨仔）當（蓋）有名。	橫山出產的水梨很有名。
004	番檨	初級	四縣	飲食	fanˊson	芒果	mango	阿爸毋好食番檨。	爸爸不喜歡吃芒果。
005	桃仔	初級	四縣	飲食	toˇ eˋ	桃子	peach	桃仔个水分比西瓜較（過）少。	桃子的水分比西瓜少。
006	李仔	初級	四縣	飲食	liˋ eˇ	李子	plum	李仔食起來又酸又澀。	李子吃起來又酸又澀。
007	牛眼	初級	四縣	飲食	ngiuˇ ngienˋ 【ngiuˇ ngianˋ 】	龍眼	longan	牛眼係熱天時正有个果子。	龍眼是夏天才有的水果。
008	朳仔【那朳仔】【拉朳仔】	初級	四縣	飲食	bad  eˋ【naˇ pad eˋ】【laˇ bad  eˋ】	青番石榴	guava	食忒多硬（拉朳仔）朳仔，會屙屎毋出。	吃太多青番石榴，會便秘。
009	楊桃	初級	四縣	飲食	iongˇ toˇ	楊桃	star fruit	食楊桃，會解熱。	吃楊桃，會解暑。
010	蓮霧【蓮霧、蒜果、茶泡】	初級	四縣	飲食	lien vu【lienˊfuˇ、son goˋ、caˇ pau】	蓮霧	wax apple	屏東个蓮霧又大又甜。	屏東的蓮霧又大又甜。
011	柚仔	初級	四縣	飲食	iu eˋ	柚子	pomelo	柚仔个皮當（蓋）賁，愛用刀仔切。	柚子的皮很厚，要用刀子切。
012	文旦柚	初級	四縣	飲食	vunˇ dan iu	文旦	wentan pomelo	臺灣个文旦柚當(蓋)好食。	臺灣的文旦很好吃。
013	檸檬	初級	四縣	飲食	leˊ mongˋ	檸檬	lemon	檸檬當（蓋）酸，無法度打淨食。	檸檬很酸，沒辦法單獨吃。
014	柑仔	初級	四縣	飲食	gamˊ eˋ	橘子	tangerine	這隻柑仔無水，毋好食。	這個橘子沒水，不好吃。
015	桔仔	初級	四縣	飲食	gidˋeˇ【gidˋ eˋ】	金桔	cumquat	桔仔酸酸，做桔醬當（蓋）好食。	金桔酸酸，做桔醬很好吃。
016	柿仔	初級	四縣	飲食	cii  eˋ	柿子	persimmon	柿仔做得拿來晒柿乾。	柿子可以拿來晒柿乾。
017	弓蕉	初級	四縣	飲食	giungˊ zeuˊ	香蕉	banana	日本人當（蓋）愛食臺灣个弓蕉。	日本人很喜歡吃臺灣的香蕉。
018	黃梨	初級	四縣	飲食	vongˇ liˇ	鳳梨	pineapple	毋知哪位出个黃梨最有名？	不知道哪裡出的鳳梨最有名？
019	葡萄	初級	四縣	飲食	puˇ toˇ	葡萄	grape	聽講食葡萄做得補血。	聽說吃葡萄可以補血。
020	爛布子【破布子】【對面烏】	初級	四縣	飲食	lan bu ziiˋ【po buˋ zii/po bu jiˋ/po po ji】【dui mien vuˊ】	破布子	cordia dichotoma forst, pobuzi	爛布子(破布子)蒸魚仔異(蓋)好食。	破布子蒸魚很好吃。
021	青菜	初級	四縣	飲食	qiangˊ coi	蔬菜	vegetable	多食青菜，身體健康。	多吃青菜，身體才健康。
022	芥菜	初級	四縣	飲食	gie  coi【ge  coi】	芥菜	leaf mustard	這兜芥菜係愛晒鹹菜用个。	這些芥菜是要晒酸菜用的。
023	高麗菜	初級	四縣	飲食	boˊliˇcoi【goˊli coi 】	高麗菜	cabbage	當（蓋）好食高麗菜。	我很喜歡吃高麗菜。
024	芹菜	初級	四縣	飲食	kiunˇ coi	芹菜	celery	芹菜同豆腐乾共下炒，當（蓋）合味。	芹菜和豆腐乾一起炒，很對味。
025	白菜	初級	四縣	飲食	pag  coi	小白菜	small bok choy	白菜同豆腐煮湯，清甜又合味。	白菜和豆腐煮湯，清甜又可口。
026	蕹菜	初級	四縣	飲食	vung  coi【fung coi】	空心菜	water spinach	炒蕹菜，放兜蒜頭較（過）好食。	炒空心菜，放一些蒜頭比較好吃。
027	番瓜	初級	四縣	飲食	fanˊ guaˊ	南瓜	pumpkin	吾姆種个番瓜大又甜。	我媽種的南瓜大又甜。
028	冬瓜	初級	四縣	飲食	dungˊ guaˊ	冬瓜	white gourd	聽講冬瓜煮湯做得退火。	聽說冬瓜煮湯可以退火。
029	西瓜	初級	四縣	飲食	xiˊ guaˊ	西瓜	watermelon	熱天食西瓜，緊食緊愛食。	夏天吃西瓜，越吃越喜歡。
030	菜瓜	初級	四縣	飲食	coi  guaˊ	絲瓜	loofah	菜瓜煮麵線，當（蓋）好食。	絲瓜煮麵線，很好吃。
031	苦瓜	初級	四縣	飲食	fuˋ guaˊ	苦瓜	bitter melon	當（蓋）多人毋敢食苦瓜（仔）。	很多人不敢吃苦瓜。
032	木瓜	初級	四縣	飲食	mugˋ guaˊ	木瓜	papaya	食木瓜，消化好。	吃木瓜，容易消化。
033	香瓜	初級	四縣	飲食	hiongˊ guaˊ	香瓜	muskmelon	香瓜當（大）出个時節，又甜又便宜。	香瓜盛產的時候，又甜又便宜。
034	時計果	初級	四縣	飲食	toˇ kie soˋ	百香果	passion fruit	時計果有人拿來做枝仔冰。	百香果有人拿來做冰棒。
